"src","target","type","id","rank"
"would return to write and direct Guardians of the Galaxy Vol. 3","would return to write and direct Guardians of the Galaxy Vol. 3","relationship","would return to write and direct Guardians of the Galaxy Vol. 3","189103936655717692"
"weighted average score of 64 out of 100","weighted average score of 64 out of 100","relationship","weighted average score of 64 out of 100","-7942391498962018755"
"voice and motion capture for Lylla","voice and motion capture for Lylla","relationship","voice and motion capture for Lylla","4328431494909037540"
"trailer","134.1 million views","relationship","trailer","-9214369632895535562"
"to the present","to the present","relationship","to the present","-4379618974703678308"
"to find a director","to find a director","relationship","to find a director","-8693239930895899291"
"this after learning Nanjiani was cast as Kingo","this after learning Nanjiani was cast as Kingo","relationship","this after learning Nanjiani was cast as Kingo","4778556937440090079"
"third film was planned for the franchise","third film was planned for the franchise","relationship","third film was planned for the franchise","-3763534924201786867"
"third film","stuff from first two films","relationship","third film","-4091452536406581238"
"the storyline with the studio","the storyline with the studio","relationship","the storyline with the studio","-1645952619935742323"
"the sequel","the sequel","relationship","the sequel","-2429264415420414968"
"the most lethal woman in the galaxy","the most lethal woman in the galaxy","relationship","the most lethal woman in the galaxy","1090335545825788293"
"the middle of another draft","the middle of another draft","relationship","the middle of another draft","1500012394791939007"
"the first two films","the first two films","relationship","the first two films","1846897805811217850"
"the first film","the first film","relationship","the first film","1846897805811217850"
"the films for its emotional weight","the films for its emotional weight","relationship","the films for its emotional weight","-4287558288828529646"
"the film's score","the film's score","relationship","the film's score","-5005890892649265267"
"the top spot at the box office","the top spot at the box office","relationship","the top spot at the box office","-5977560471990033630"
"the film's action sequences and storyline","the film's action sequences and storyline","relationship","the film's action sequences and storyline","807807822724540300"
"the film would be emotional","the film would be emotional","relationship","the film would be emotional","-3763534924201786867"
"the film was overlong","the film was overlong","relationship","the film was overlong","-8502378053513764957"
"the film was overlong","the film was overlong","relationship","the film was overlong","-8502378053513764957"
"the film","the film","relationship","the film","-7785276915946777279"
"the film","the film","relationship","the film","-6014769125565566519"
"the film","the film","relationship","the film","-332159461774003546"
"the film","the film","relationship","the film","2233611516416584334"
"the film","the film","relationship","the film","4269416549037527187"
"the box office","the box office","relationship","the box office","-1604180561527427412"
"the High Evolutionary","the High Evolutionary","relationship","the High Evolutionary","-2200251906687968932"
"the Guardians","the Guardians","relationship","the Guardians","1051457163903185543"
"the Animen's imperfect society","the Animen's imperfect society","relationship","the Animen's imperfect society","-5143183264991670201"
"spin-off television series from The Suicide Squad titled Peacemaker","spin-off television series from The Suicide Squad titled Peacemaker","relationship","spin-off television series from The Suicide Squad titled Peacemaker","5805495093201573292"
"songs","the following month","relationship","songs","-6282531898327606475"
"songs","Quill's Zune","relationship","songs","3613709514864613692"
"tell Rocket's origins in a team-up movie","tell Rocket's origins in a team-up movie","relationship","tell Rocket's origins in a team-up movie","6614841782036595400"
"song  Russian Roulette  by the Lords of the New Church","song  Russian Roulette  by the Lords of the New Church","relationship","song  Russian Roulette  by the Lords of the New Church","3855861069569427248"
"she was returning for the sequel","she was returning for the sequel","relationship","she was returning for the sequel","-4999792123346840014"
"the Ravagers","the Ravagers","relationship","the Ravagers","-6208389823079398512"
"second trailer","Super Bowl LVII","relationship","second trailer","1326692234707615079"
"second trailer","Since You Been Gone  by Rainbow","relationship","second trailer","5273030728856961245"
"script had  basically stayed the same","script had  basically stayed the same","relationship","script had  basically stayed the same","1531974605049218034"
"script for Vol. 3 was finished","script for Vol. 3 was finished","relationship","script for Vol. 3 was finished","-4999792123346840014"
"same time as Vol. 3","same time as Vol. 3","relationship","same time as Vol. 3","4832263531932891627"
"reprise his roles","reprise his roles","relationship","reprise his roles","2904973281013936169"
"rehearsals and camera tests","rehearsals and camera tests","relationship","rehearsals and camera tests","6509211788973705182"
"psionic abilities","psionic abilities","relationship","psionic abilities","-7106664617100321432"
"powerful artificial being","powerful artificial being","relationship","powerful artificial being","-2200251906687968932"
"outer space","outer space","relationship","outer space","-1030172037530794351"
"opinion pieces","opinion pieces","relationship","opinion pieces","-9066970770184109485"
"opinion pieces","opinion pieces","relationship","opinion pieces","1499423215804574743"
"on set motion capture for Rocket","on set motion capture for Rocket","relationship","on set motion capture for Rocket","4328431494909037540"
"old tweets","old tweets","relationship","old tweets","8034453526850302190"
"playing with it in little ways","playing with it in little ways","relationship","playing with it in little ways","-8405144068881156727"
"new projects","new projects","relationship","new projects","-3576062629614339915"
"male","male","relationship","male","1070907530222987151"
"journey of self-discovery","journey of self-discovery","relationship","journey of self-discovery","-4075267301298401674"
"involvement in third Guardians film","involvement in third Guardians film","relationship","involvement in third Guardians film","6238723881874744285"
"in late 2021","in late 2021","relationship","in late 2021","223862384192939492"
"one of the fight scenes in Vol. 3","one of the fight scenes in Vol. 3","relationship","one of the fight scenes in Vol. 3","-9066970770184109485"
"importance on the cosmic side of the MCU","importance on the cosmic side of the MCU","relationship","importance on the cosmic side of the MCU","-8482745688921817451"
"offensive attitudes and statements are indefensible","offensive attitudes and statements are indefensible","relationship","offensive attitudes and statements are indefensible","9102253056064705046"
"his contract","his contract","relationship","his contract","8539019632058709904"
"him","him","relationship","him","-3492641800738858122"
"her role as Mantis","her role as Mantis","relationship","her role as Mantis","8197402824435376819"
"her role as Ayesha","her role as Ayesha","relationship","her role as Ayesha","1140757383655934131"
"it was  the best Marvel movie in years","it was  the best Marvel movie in years","relationship","it was  the best Marvel movie in years","2483202927377345614"
"it was  the best Marvel movie in years","it was  the best Marvel movie in years","relationship","it was  the best Marvel movie in years","2483202927377345614"
"it was  the best Marvel movie in years","it was  the best Marvel movie in years","relationship","it was  the best Marvel movie in years","2483202927377345614"
"he would return to write and direct Guardians of the Galaxy Vol. 3","he would return to write and direct Guardians of the Galaxy Vol. 3","relationship","he would return to write and direct Guardians of the Galaxy Vol. 3","189103936655717692"
"he would return for the film","he would return for the film","relationship","he would return for the film","7276213489393766698"
"guards","guards","relationship","guards","1831092963343690476"
"footage was not released publicly","footage was not released publicly","relationship","footage was not released publicly","9102253056064705046"
"somebody who was youthful","somebody who was youthful","relationship","somebody who was youthful","3585494132696201839"
"first draft of screenplay from Gunn","first draft of screenplay from Gunn","relationship","first draft of screenplay from Gunn","5696663794156731277"
"first draft of screenplay by end of June","first draft of screenplay by end of June","relationship","first draft of screenplay by end of June","5870702037342066257"
"film's soundtrack","film's soundtrack","relationship","film's soundtrack","807807822724540300"
"film","Dog Days Are Over  by Florence and the Machine","relationship","film","-1342448241777725815"
"film","Marvel Studios' panel at the 2022 San Diego Comic-Con","relationship","film","3588606071463543928"
"film","acoustic version of  Creep  by Radiohead","relationship","film","4568602162587319238"
"dozens of roles had been cast","dozens of roles had been cast","relationship","dozens of roles had been cast","-3763534924201786867"
"disable the kill switch and restart Rocket's heart","disable the kill switch and restart Rocket's heart","relationship","disable the kill switch and restart Rocket's heart","1290631167067450485"
"director of the film","director of the film","relationship","director of the film","-231905782221773733"
"the code","the code","relationship","the code","7096529409218097197"
"director for Vol. 3","director for Vol. 3","relationship","director for Vol. 3","-5399440036737921708"
"digital download","digital download","relationship","digital download","-5755255926984396480"
"technology","technology","relationship","technology","3127586189530734274"
"cruelest MCU villain","cruelest MCU villain","relationship","cruelest MCU villain","2925905370990586879"
"costume designer","costume designer","relationship","costume designer","6724689730893271636"
"young Rocket","young Rocket","relationship","young Rocket","882621279892588333"
"emotional","emotional","relationship","emotional","8966364415519733265"
"continue playing Nebula after Vol. 3","continue playing Nebula after Vol. 3","relationship","continue playing Nebula after Vol. 3","5693902546385781181"
"cinematographer","cinematographer","relationship","cinematographer","6724689730893271636"
"cameo in film","cameo in film","relationship","cameo in film","-1235982978330508125"
"boarding to rescue Quill and Groot","boarding to rescue Quill and Groot","relationship","boarding to rescue Quill and Groot","-8141898123752006359"
"best second-weekend hold of any sequel in the Marvel Cinematic Universe","best second-weekend hold of any sequel in the Marvel Cinematic Universe","relationship","best second-weekend hold of any sequel in the Marvel Cinematic Universe","4367253990667738108"
"the studio","the studio","relationship","the studio","-9041177609597715843"
