"src","target","type","id","rank"
"to write and direct in April 2017","to write and direct in April 2017","relationship","to write and direct in April 2017","-4426286826369725917"
"2023 American superhero film","2023 American superhero film","relationship","2023 American superhero film","-553155601023677021"
"2023 American superhero film","2023 American superhero film","relationship","2023 American superhero film","-1768771592778106734"
"initial ideas for third and final film in series","initial ideas for third and final film in series","relationship","initial ideas for third and final film in series","5845720842543243272"
"Chris Pratt","Chris Pratt","relationship","Chris Pratt","9161736479065105300"
"32nd film in Marvel Cinematic Universe","32nd film in Marvel Cinematic Universe","relationship","32nd film in Marvel Cinematic Universe","-1768771592778106734"
"32nd film in Marvel Cinematic Universe (MCU)","32nd film in Marvel Cinematic Universe (MCU)","relationship","32nd film in Marvel Cinematic Universe (MCU)","-553155601023677021"
"Bradley Cooper","Bradley Cooper","relationship","Bradley Cooper","9161736479065105300"
"Guardians embark on mission","Guardians embark on mission","relationship","Guardians embark on mission","5636258628009313734"
"Guardians embark on mission","Guardians embark on mission","relationship","Guardians embark on mission","4594915167248525217"
"Vin Diesel","Vin Diesel","relationship","Vin Diesel","9161736479065105300"
"Chukwudi Iwuji","Chukwudi Iwuji","relationship","Chukwudi Iwuji","9161736479065105300"
"Dave Bautista","Dave Bautista","relationship","Dave Bautista","9161736479065105300"
"High Evolutionary (Iwuji)","High Evolutionary (Iwuji)","relationship","High Evolutionary (Iwuji)","-1181622832605898929"
"Marvel Comics superhero team Guardians of the Galaxy","Marvel Comics superhero team Guardians of the Galaxy","relationship","Marvel Comics superhero team Guardians of the Galaxy","-4472096110381603551"
"ensemble cast","ensemble cast","relationship","ensemble cast","4642555830275257859"
"ensemble cast","ensemble cast","relationship","ensemble cast","9161736479065105300"
"Guardians of the Galaxy Vol. 2 (2017)","Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy Vol. 2 (2017)","5568768422326593351"
"Will Poulter","Will Poulter","relationship","Will Poulter","9161736479065105300"
"Walt Disney Studios Motion Pictures","Walt Disney Studios Motion Pictures","relationship","Walt Disney Studios Motion Pictures","5218414605979031320"
"Guardians of the Galaxy Vol. 2 (2017)","Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy Vol. 2 (2017)","-5382979131085550270"
"Linda Cardellini","Linda Cardellini","relationship","Linda Cardellini","9161736479065105300"
"Sylvester Stallone","Sylvester Stallone","relationship","Sylvester Stallone","9161736479065105300"
"Nathan Fillion","Nathan Fillion","relationship","Nathan Fillion","9161736479065105300"
"Marvel Studios","Marvel Studios","relationship","Marvel Studios","-7278024353456562054"
"Marvel Studios","Marvel Studios","relationship","Marvel Studios","7943757012230964750"
"Guardians of the Galaxy (2014)","Guardians of the Galaxy (2014)","relationship","Guardians of the Galaxy (2014)","5568768422326593351"
"Pom Klementieff","Pom Klementieff","relationship","Pom Klementieff","9161736479065105300"
"Guardians of the Galaxy (2014)","Guardians of the Galaxy (2014)","relationship","Guardians of the Galaxy (2014)","-5382979131085550270"
"Karen Gillan","Karen Gillan","relationship","Karen Gillan","9161736479065105300"
