"id","label"
"$110 million","$110 million"
"$168.1 million in its opening weekend","$168.1 million in its opening weekend"
"$168.1 million in its opening weekend outside the US and Canada","$168.1 million in its opening weekend outside the US and Canada"
"$32 million in its third weekend","$32 million in its third weekend"
"$358.8 million in the United States and Canada","$358.8 million in the United States and Canada"
"$48.2 million on its first day","$48.2 million on its first day"
"$7–10 million","$7–10 million"
"$92 million in its second weekend outside the US and Canada","$92 million in its second weekend outside the US and Canada"
"134.1 million views","134.1 million views"
"1786","1786"
"1787","1787"
"2023 Guild of Music Supervisors Awards","2023 Guild of Music Supervisors Awards"
"2023 release date","2023 release date"
"32nd film in the Marvel Cinematic Universe","32nd film in the Marvel Cinematic Universe"
"Adam","Adam"
"Adam McKay","Adam McKay"
"Adam Warlock","Adam Warlock"
"Adam and the High Evolutionary's guard War Pig","Adam and the High Evolutionary's guard War Pig"
"Alan F. Horn","Alan F. Horn"
"American superhero film","American superhero film"
"April 2023","April 2023"
"Arête","Arête"
"Asim Chaudhry","Asim Chaudhry"
"Audiences","Audiences"
"Avengers: Endgame","Avengers: Endgame"
"Avengers: Infinity War","Avengers: Infinity War"
"Avengers: Infinity War and Avengers: Endgame","Avengers: Infinity War and Avengers: Endgame"
"Awesome Mix Vol. 3","Awesome Mix Vol. 3"
"Ayesha","Ayesha"
"Bakalova","Bakalova"
"Bautista","Bautista"
"Beth Mickle","Beth Mickle"
"Bob Iger","Bob Iger"
"CBC","CBC"
"COVID-19 pandemic would not affect production plans for the film","COVID-19 pandemic would not affect production plans for the film"
"Callie Brand","Callie Brand"
"Carson Burton","Carson Burton"
"Cast of Guardians of the Galaxy","Cast of Guardians of the Galaxy"
"Charles Pulliam-Moore","Charles Pulliam-Moore"
"Chris Pratt","Chris Pratt"
"Chukwudi Iwuji","Chukwudi Iwuji"
"Cooper","Cooper"
"Cosmo","Cosmo"
"Counter-Earth","Counter-Earth"
"Cynthia Blondelle and Heather Kreamer","Cynthia Blondelle and Heather Kreamer"
"Dave Bautista","Dave Bautista"
"Deadline Hollywood","Deadline Hollywood"
"Disney","Disney"
"Disney and Marvel","Disney and Marvel"
"Disney and Marvel Music","Disney and Marvel Music"
"Disneyland Paris","Disneyland Paris"
"Dog Days Are Over  by Florence and the Machine","Dog Days Are Over  by Florence and the Machine"
"Dolby Theatre","Dolby Theatre"
"Don Giovanni","Don Giovanni"
"Drax","Drax"
"Drax and Mantis","Drax and Mantis"
"Earth","Earth"
"Elizabeth Debicki","Elizabeth Debicki"
"Endgame","Endgame"
"Fans","Fans"
"Fast X","Fast X"
"Film","Film"
"Forbes","Forbes"
"Fred Raskin","Fred Raskin"
"Galaxy","Galaxy"
"Gamora","Gamora"
"Gamora and Rocket","Gamora and Rocket"
"Gamora's adoptive sister","Gamora's adoptive sister"
"Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3","Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3"
"General Mills","General Mills"
"Gillan","Gillan"
"Goldthwait","Goldthwait"
"Grant Hermanns","Grant Hermanns"
"Greg D'Auria","Greg D'Auria"
"Gridlemop","Gridlemop"
"Groot","Groot"
"Guardians","Guardians"
"Guardians cast members","Guardians cast members"
"Guardians films","Guardians films"
"Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)","Guardians of the Galaxy (2014) and Guardians of the Galaxy Vol. 2 (2017)"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy Vol. 3"
"Guardians of the Galaxy Vol. 3 an average grade of  A","Guardians of the Galaxy Vol. 3 an average grade of  A"
"Guardians of the Galaxy films","Guardians of the Galaxy films"
"Gunn","Gunn"
"Gunn a  Not a Number Award","Gunn a  Not a Number Award"
"Gunn chose to mainly use practical effects for Vol. 3","Gunn chose to mainly use practical effects for Vol. 3"
"Gunn's  strongest work yet","Gunn's  strongest work yet"
"Gunn's direction and writing","Gunn's direction and writing"
"Henry Braham","Henry Braham"
"High Evolutionary","High Evolutionary"
"High Evolutionary as the  cruelest MCU villain","High Evolutionary as the  cruelest MCU villain"
"Hollywood Records","Hollywood Records"
"Honey Nut Cheerios","Honey Nut Cheerios"
"Horn","Horn"
"In the Meantime  by Spacehog","In the Meantime  by Spacehog"
"Island of Lost Souls","Island of Lost Souls"
"James Gunn","James Gunn"
"Jared Gore","Jared Gore"
"John Murphy","John Murphy"
"Jon Favreau","Jon Favreau"
"Judianna Makovsky","Judianna Makovsky"
"Kareem Abdul-Jabbar","Kareem Abdul-Jabbar"
"Karen Gillan","Karen Gillan"
"Kevin Feige","Kevin Feige"
"Knowhere","Knowhere"
"Kraglin","Kraglin"
"Krugarr","Krugarr"
"Kumail Nanjiani","Kumail Nanjiani"
